iter	RMSE
0	27.24747152
1	27.15199279
2	26.97407299
3	26.834886
4	26.78281876
5	26.66589552
6	26.60471331
7	26.53783086
8	26.43753783
9	26.3768266
10	26.29888476
11	26.21872399
12	26.09564127
13	26.00274656
14	25.93660728
15	25.85223218
16	25.77341807
17	25.71408517
18	25.63011764
19	25.57754254
20	25.49327855
21	25.41073092
22	25.34884294
23	25.24940458
24	25.17840241
25	25.03761052
26	24.9699763
27	24.90101432
28	24.84154026
29	24.73691412
30	24.65083615
31	24.56569668
32	24.47196071
33	24.39494653
34	24.35502538
35	24.25359724
36	24.17234188
37	24.0933219
38	24.02790323
39	23.9678135
40	23.91285992
41	23.82319596
42	23.76559646
43	23.67551803
44	23.59630384
45	23.54349238
46	23.48290995
47	23.45618461
48	23.40407614
49	23.36932037
50	23.27351763
51	23.22902629
52	23.1629728
53	23.11597163
54	23.0029011
55	22.95715042
56	22.89392729
57	22.84276201
58	22.64990445
59	22.60923264
60	22.56064199
61	22.51091058
62	22.4554106
63	22.42949015
64	22.34175887
65	22.25756164
66	22.21813281
67	22.14952839
68	22.11233945
69	22.07532583
70	21.98013089
71	21.83199619
72	21.79223344
73	21.71602998
74	21.64376528
75	21.47258535
76	21.42856351
77	21.33683668
78	21.30844369
79	21.26378066
80	21.20890309
81	21.0995062
82	21.05564444
83	20.92834498
84	20.85111937
85	20.750496
86	20.67838957
87	20.63074713
88	20.58986803
89	20.51047507
90	20.4483593
91	20.41419822
92	20.37134493
93	20.29535661
94	20.18575258
95	20.11763418
96	20.01357082
97	19.99364347
98	19.92453018
99	19.87011886
100	19.80415462
101	19.76280952
102	19.71929329
103	19.69543455
104	19.67957155
105	19.66516564
106	19.65215035
107	19.51564268
108	19.39592116
109	19.2390536
110	19.20918845
111	19.16234679
112	19.08184601
113	19.05156604
114	18.95855783
115	18.8787837
116	18.85710967
117	18.79784822
118	18.74990527
119	18.6305372
120	18.58681677
121	18.53807611
122	18.45906862
123	18.34209386
124	18.29192568
125	18.24390527
126	18.18984708
127	18.17576376
128	18.06883445
129	17.99091605
130	17.95672317
131	17.9152557
132	17.86825742
133	17.70217531
134	17.66669824
135	17.55693534
136	17.51393712
137	17.45047928
138	17.40924554
139	17.34220718
140	17.30239131
141	17.26534067
142	17.23774848
143	17.10261481
144	17.01585227
145	16.97750662
146	16.92840496
147	16.83011052
148	16.67899592
149	16.65211973
150	16.56769361
151	16.55933642
152	16.48998649
153	16.44779579
154	16.40956534
155	16.31460925
156	16.23683231
157	16.20520445
158	16.17992673
159	16.12805593
160	16.09806701
161	16.07462224
162	15.99549414
163	15.96591831
164	15.88695788
165	15.86828564
166	15.73979682
167	15.7072309
168	15.66476657
169	15.65387103
170	15.62089656
171	15.58767506
172	15.5409731
173	15.44628164
174	15.36590771
175	15.32900815
176	15.28751524
177	15.25573974
178	15.24988361
179	15.21313738
180	15.17270074
181	15.09571263
182	15.02815077
183	14.98398803
184	14.89852109
185	14.89004033
186	14.84606345
187	14.82176415
188	14.79935256
189	14.78147845
190	14.72850822
191	14.66678441
192	14.64599817
193	14.58087169
194	14.55912591
195	14.52537444
196	14.47849001
197	14.39418148
198	14.31844383
199	14.29192472
200	14.27249642
201	14.24908596
202	14.23257861
203	14.19402351
204	14.17143468
205	14.10046231
206	14.04851516
207	14.03020686
208	14.01520942
209	13.98043064
210	13.93134951
211	13.87784834
212	13.86942517
213	13.85867645
214	13.83855547
215	13.82087292
216	13.7870969
217	13.74535359
218	13.70097498
219	13.68383258
220	13.64480672
221	13.62886345
222	13.6102117
223	13.58881095
224	13.56777391
225	13.52047466
226	13.50885365
227	13.42267976
228	13.37117427
229	13.35386095
230	13.33991972
231	13.32358548
232	13.28578981
233	13.27433012
234	13.23538984
235	13.14506229
236	13.13213275
237	13.09310965
238	13.00862664
239	12.93734181
240	12.89821595
241	12.89126212
242	12.81368022
243	12.77506126
244	12.76300129
245	12.75091434
246	12.70965473
247	12.67225541
248	12.66054444
249	12.58656361
250	12.56721562
251	12.53069126
252	12.51947253
253	12.50803395
254	12.49715149
255	12.46353835
256	12.41727185
257	12.38883523
258	12.37063789
259	12.33385938
260	12.29556314
261	12.2775357
262	12.26169513
263	12.22413144
264	12.2098662
265	12.17461454
266	12.16499157
267	12.15327728
268	12.14393513
269	12.11027237
270	12.09339631
271	12.08384277
272	12.07298599
273	12.06432873
274	12.02881181
275	11.96100434
276	11.95047952
277	11.94223602
278	11.93419221
279	11.92246915
280	11.91462452
281	11.90466379
282	11.81618522
283	11.80867438
284	11.76781283
285	11.75871577
286	11.72370377
287	11.70857815
288	11.64735488
289	11.62130257
290	11.57584678
291	11.56657093
292	11.55581746
293	11.49785691
294	11.48581103
295	11.42563191
296	11.41921056
297	11.40923351
298	11.39790221
299	11.37854085
300	11.32873534
301	11.2973205
302	11.2913386
303	11.28077551
304	11.23369681
305	11.22759921
306	11.17364606
307	11.16546048
308	11.134839
309	11.10078741
310	11.08913492
311	11.04688096
312	11.03586817
313	11.02509923
314	11.01966046
315	10.97551278
316	10.92970833
317	10.92411873
318	10.88337228
319	10.87792126
320	10.86596203
321	10.83647916
322	10.79704427
323	10.7532854
324	10.71933737
325	10.71218612
326	10.70526844
327	10.66177223
328	10.61312495
329	10.5670798
330	10.52152345
331	10.51583737
332	10.51084001
333	10.50114736
334	10.48321139
335	10.47747599
336	10.47276857
337	10.45950859
338	10.41221643
339	10.37159121
340	10.34561401
341	10.34091969
342	10.33183922
343	10.28624206
344	10.24407456
345	10.19355982
346	10.16908047
347	10.16020484
348	10.12237919
349	10.09961046
350	10.07139744
351	10.03387504
352	9.987126544
353	9.959276728
354	9.947367569
355	9.90143474
356	9.889284965
357	9.867929016
358	9.856406323
359	9.823007795
360	9.817900403
361	9.804730838
362	9.80060277
363	9.773919073
364	9.745617089
365	9.741547097
366	9.725972793
367	9.667830379
368	9.643410703
369	9.617896431
370	9.582217527
371	9.5782627
372	9.549759457
373	9.545918793
374	9.542284085
375	9.514829767
376	9.493805217
377	9.466565125
378	9.453084765
379	9.43594486
380	9.419295707
381	9.39824824
382	9.365417376
383	9.343046067
384	9.339616134
385	9.336261208
386	9.29604039
387	9.284040571
388	9.280705337
389	9.263910264
390	9.238885658
391	9.21593945
392	9.19379725
393	9.190543939
394	9.169011201
395	9.150193955
396	9.121027616
397	9.097403371
398	9.094303178
399	9.070525429
400	9.050294803
401	9.04564387
402	9.010612845
403	8.980881498
404	8.944574846
405	8.937277789
406	8.914999796
407	8.897262125
408	8.892923753
409	8.885814505
410	8.864919023
411	8.838631326
412	8.817051949
413	8.813940105
414	8.79279128
415	8.761762112
416	8.735664108
417	8.714852459
418	8.694939289
419	8.691912441
420	8.671149297
421	8.650945908
422	8.631928146
423	8.609206454
424	8.58825224
425	8.584048685
426	8.566744111
427	8.553574596
428	8.546581264
429	8.543755445
430	8.519974019
431	8.513168484
432	8.509329699
433	8.479112839
434	8.476833181
435	8.470351228
436	8.464044991
437	8.447399635
438	8.427799752
439	8.412319017
440	8.409296964
441	8.401179442
442	8.397677922
443	8.39153164
444	8.373154708
445	8.336553517
446	8.331889014
447	8.31408399
448	8.295287604
449	8.292766154
450	8.278367498
451	8.259635636
452	8.253287992
453	8.251234853
454	8.245539804
455	8.212685617
456	8.205560098
457	8.171175097
458	8.153448802
459	8.147900483
460	8.11804505
461	8.113901031
462	8.096464236
463	8.094192307
464	8.08164535
465	8.077677263
466	8.073800451
467	8.061507612
468	8.046112355
469	8.024634423
470	8.011518379
471	7.99082774
472	7.96373806
473	7.960001728
474	7.94100448
475	7.91524351
476	7.898560653
477	7.895002724
478	7.877601893
479	7.861967038
480	7.843959654
481	7.82965219
482	7.812933439
483	7.797776036
484	7.795652207
485	7.781288062
486	7.765914359
487	7.753565226
488	7.750283862
489	7.747090626
490	7.731443162
491	7.712495346
492	7.702871283
493	7.686470428
494	7.671455123
495	7.654397135
496	7.639926855
497	7.63158045
498	7.628755736
499	7.626025983
500	7.613776977
501	7.594700315
502	7.58298654
503	7.569671475
504	7.545673507
505	7.534392213
506	7.51559624
507	7.496924195
508	7.480149062
509	7.45964498
510	7.445133855
511	7.426927859
512	7.41476345
513	7.393558836
514	7.378424112
515	7.360823783
516	7.34597451
517	7.334435326
518	7.320710338
519	7.293604982
520	7.273951158
521	7.259918555
522	7.245738359
523	7.224580276
